uniqueid,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
31,February 17 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,11218
32,February 15 2015,DOG,American Pit Bull Mix - Pit Bull Mix,1,M,FALSE,Brooklyn,11207
33,February 12 2015,DOG,Mastiff-Old English,,U,FALSE,Brooklyn,11231
34,February 18 2015,DOG,Yorkshire Terrier,3,M,FALSE,Brooklyn,11233
35,February 17 2015,DOG,American Pit Bull Terrier-Pit Bull,5,M,FALSE,Brooklyn,11207
36,February 19 2015,DOG,SPRINGER SPANIEL,7,U,TRUE,Brooklyn,11213
37,February 21 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11217
38,February 06 2015,DOG,Shiba Inu,3,M,FALSE,Brooklyn,
39,February 12 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11224
40,February 22 2015,DOG,Pit Bull,10,M,TRUE,Brooklyn,11235
41,February 24 2015,DOG,Pit Bull,1,F,FALSE,Brooklyn,11215
42,February 24 2015,DOG,Pit Bull,10,F,TRUE,Brooklyn,11210
43,February 24 2015,DOG,WESTIE,,U,FALSE,Brooklyn,11234
44,February 22 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,
45,February 21 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11231
46,February 26 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11206
47,February 22 2015,DOG,FOX HOUND,3,F,TRUE,Brooklyn,11209
48,February 23 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,
49,February 26 2015,DOG,Pit Bull,1,M,FALSE,Brooklyn,11226
50,February 28 2015,DOG,Weimaraner,1900-01-11T00:00:00.000,M,TRUE,Brooklyn,11230
51,February 26 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,11220
52,February 01 2015,DOG,Rottweiler,,U,FALSE,Brooklyn,11215
53,March 01 2015,DOG,American Pit Bull Mix - Pit Bull Mix,6,F,TRUE,Brooklyn,11225
54,February 28 2015,DOG,American Pit Bull Mix - Pit Bull Mix,2,M,FALSE,Brooklyn,11228
55,February 10 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11221
56,March 04 2015,DOG,"Jindo Dog,",,M,TRUE,Brooklyn,11215
57,March 06 2015,DOG,American Pit Bull Mix - Pit Bull Mix,10,F,FALSE,Brooklyn,11206
58,March 07 2015,DOG,Bull Dog-English,2,M,TRUE,Brooklyn,11201
59,February 27 2015,DOG,American Pit Bull Terrier-Pit Bull,3,M,FALSE,Brooklyn,11206
60,March 07 2015,DOG,BULLDOG-SHARPEI,11,M,TRUE,Brooklyn,11233
61,March 08 2015,DOG,Shih Tzu,4,M,FALSE,Brooklyn,11234
62,March 10 2015,DOG,COCKER-CORGI X,,M,FALSE,Brooklyn,11201
63,March 06 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,
64,March 12 2015,DOG,Jack Russ,7M,M,FALSE,Brooklyn,11208
65,March 12 2015,DOG,Shih Tzu,,U,FALSE,Brooklyn,11217
66,February 26 2015,DOG,Pit Bull,2,M,FALSE,Brooklyn,11216
67,March 13 2015,DOG,Pug,6,M,TRUE,Brooklyn,11231
68,March 15 2015,DOG,Yorkshire Terrier,4,M,FALSE,Brooklyn,11205
69,March 14 2015,DOG,Chow Chow,3,M,FALSE,Brooklyn,11234
70,March 15 2015,DOG,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11230
71,March 14 2015,DOG,SHEPHERD MIX,5,M,TRUE,Brooklyn,11229
72,March 16 2015,DOG,Maltese,7,M,TRUE,Brooklyn,11221
73,March 18 2015,DOG,American Pit Bull Terrier-Pit Bull,5,M,TRUE,Brooklyn,11207
74,March 16 2015,DOG,Yorkshire Terrier,1,M,FALSE,Brooklyn,11221
75,March 14 2015,DOG,Cocker Spaniel,,U,FALSE,Brooklyn,11213
76,March 16 2015,DOG,American Pit Bull Mix - Pit Bull Mix,2,M,TRUE,Brooklyn,11234
77,March 16 2015,DOG,Pit Bull,,F,TRUE,Brooklyn,11223
78,March 17 2015,DOG,Collie-Border,,U,FALSE,Brooklyn,
79,March 09 2015,DOG,Miniature Pinscher,,M,FALSE,Brooklyn,11235
80,March 22 2015,DOG,Shih Tzu,2,M,FALSE,Brooklyn,11223
81,March 21 2015,DOG,Doberman Pinscher,8,F,FALSE,Brooklyn,11204
82,March 22 2015,DOG,Shih Tzu,7,M,TRUE,Brooklyn,11208
83,March 22 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,11217
84,March 21 2015,DOG,Bull Dog-French,6,M,TRUE,Brooklyn,11217
85,February 02 2015,DOG,Pekingese,4,M,FALSE,Brooklyn,11238
86,March 15 2015,DOG,Chihuahua,6,M,FALSE,Brooklyn,11221
87,March 25 2015,DOG,TERRIER,5,M,FALSE,Brooklyn,11027
88,March 29 2015,DOG,Pit Bull,1,M,FALSE,Brooklyn,11224
89,March 20 2015,DOG,HARRIER-BEAGLE,10 M,M,TRUE,Brooklyn,11235
90,March 27 2015,DOG,TERRIER,,U,FALSE,Brooklyn,11215
91,March 28 2015,DOG,Dachshund-Long Haired Miniature,4,M,TRUE,Brooklyn,11234
92,March 29 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11217
93,March 24 2015,DOG,BOXER X W- PIT BULL,8,M,TRUE,Brooklyn,11231
94,March 31 2015,DOG,Cocker Spaniel,3,F,FALSE,Brooklyn,
95,April 03 2015,DOG,Yorkshire Terrier,6,M,TRUE,Brooklyn,11233
96,April 02 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,
97,April 06 2015,DOG,Bull dog,8M,M,FALSE,Brooklyn,11213
98,April 06 2015,DOG,American Staffordshire Terrier,,U,FALSE,Brooklyn,11224
99,April 06 2015,DOG,American Pit Bull Terrier-Pit Bull,4,F,TRUE,Brooklyn,11212
100,March 31 2015,DOG,PITBULL-LAB RETRIEVER,5,F,TRUE,Brooklyn,
101,March 27 2015,DOG,BOXER-RHODESIAN RIDGEBACK X,5,F,FALSE,Brooklyn,11214
102,April 06 2015,DOG,Chihuahua Crossbreed,4M,M,FALSE,Brooklyn,11205
103,April 06 2015,DOG,Poodle-Standard,2,M,FALSE,Brooklyn,11213
104,April 07 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11231
105,April 01 2015,DOG,Bull Terrier,1,M,FALSE,Brooklyn,11201
106,April 08 2015,DOG,CATAHOULA LEOPARD DOG,1,M,TRUE,Brooklyn,11235
107,April 06 2015,DOG,Yorkshire Terrier,6,F,FALSE,Brooklyn,11219
108,April 10 2015,DOG,Cocker Spaniel Crossbreed,5,M,TRUE,Brooklyn,11206
109,April 03 2015,DOG,BOXER-HOUND-PITBULL,6,F,TRUE,Brooklyn,11216
110,April 12 2015,DOG,German Shepherd,11,F,TRUE,Brooklyn,11209
111,April 10 2015,DOG,Bull Dog-English,9M,M,FALSE,Brooklyn,11220
112,April 10 2015,DOG,American Pit Bull Terrier-Pit Bull,6M,M,FALSE,Brooklyn,11224
113,April 12 2015,DOG,Chihuahua,9,F,TRUE,Brooklyn,11224
114,April 13 2015,DOG,Pit Bull,9,M,FALSE,Brooklyn,11207
115,April 13 2015,DOG,Chihuahua,9M,M,FALSE,Brooklyn,11208
116,April 14 2015,DOG,American Pit Bull Mix - Pit Bull Mix,2,F,TRUE,Brooklyn,11216
117,April 10 2015,DOG,American Pit Bull Terrier-Pit Bull,3,M,TRUE,Brooklyn,
118,April 10 2015,DOG,Siberian Husky,,U,FALSE,Brooklyn,11226
119,April 14 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,
120,April 16 2015,DOG,American Pit Bull Terrier-Pit Bull,1,F,FALSE,Brooklyn,11208
121,April 16 2015,DOG,Rottweiler,1,M,TRUE,Brooklyn,11228
122,April 14 2015,DOG,Beagle Crossbreed,19,M,FALSE,Brooklyn,11214
123,April 18 2015,DOG,AUSTRALIAN CATTLE,,F,FALSE,Brooklyn,
124,April 11 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11207
125,April 15 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,
126,April 19 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11221
127,April 19 2015,DOG,German Shepherd Crossbreed,15,F,TRUE,Brooklyn,11222
128,April 17 2015,DOG,Border Terrier,3,M,TRUE,Brooklyn,
129,April 17 2015,DOG,American Pit Bull Terrier-Pit Bull,3,M,FALSE,Brooklyn,11231
130,April 19 2015,DOG,ITALIAN MASTIFF,3,F,FALSE,Brooklyn,11221
131,April 12 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11235
132,April 19 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11221
133,April 17 2015,DOG,BEAGLE-JACK RUSS,4,M,TRUE,Brooklyn,11224
134,April 19 2015,DOG,American Pit Bull Terrier-Pit Bull,5,M,TRUE,Brooklyn,11218
135,April 22 2015,DOG,Maltese,7,F,TRUE,Brooklyn,11237
136,April 23 2015,DOG,Cane Corso,15,F,FALSE,Brooklyn,11238
137,April 23 2015,DOG,PARSON RUSSELLTERR,2,M,TRUE,Brooklyn,11231
138,April 24 2015,DOG,Poodle-Standard,,U,FALSE,Brooklyn,11221
139,April 25 2015,DOG,Shih Tzu,5,M,TRUE,Brooklyn,11219
140,April 26 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11212
141,April 25 2015,DOG,American Pit Bull Terrier-Pit Bull,3,M,FALSE,Brooklyn,11221
142,April 25 2015,DOG,American Pit Bull Terrier-Pit Bull,3,M,FALSE,Brooklyn,11221
185,May 09 2015,DOG,Siberian Husky,,U,FALSE,Brooklyn,
143,April 27 2015,DOG,American Pit Bull Terrier-Pit Bull,2,M,FALSE,Brooklyn,11218
144,April 20 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11218
145,April 25 2015,DOG,UNKNOWN,,U,FALSE,Brooklyn,11201
146,April 25 2015,DOG,German Shepherd,7,M,TRUE,Brooklyn,11234
147,April 11 2015,DOG,American Pit Bull Terrier-Pit Bull,3,F,TRUE,Brooklyn,11220
148,April 29 2015,DOG,Pug,3,M,TRUE,Brooklyn,11223
149,April 29 2015,DOG,POINTER-BEAGLE X,7,F,FALSE,Brooklyn,11249
150,April 29 2015,DOG,SHIBA INU,5,M,TRUE,Brooklyn,11221
151,April 26 2015,DOG,Chihuahua,2,F,FALSE,Brooklyn,11220
152,April 30 2015,DOG,GERMAN SHEPHERD-RIDGEBACK,5,M,TRUE,Brooklyn,11231
153,May 01 2015,DOG,Bichon Frise,8,M,TRUE,Brooklyn,11223
154,May 01 2015,DOG,STAFFORDSHIRE TERR,7,F,TRUE,Brooklyn,11221
155,April 19 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11223
156,May 02 2015,DOG,Chihuahua Crossbreed,,U,FALSE,Brooklyn,11214
157,May 02 2015,DOG,Collie-Border,14,M,TRUE,Brooklyn,11234
158,May 04 2015,DOG,American Pit Bull Mix - Pit Bull Mix,8M,M,FALSE,Brooklyn,11204
159,May 04 2015,DOG,Belgian Malinois,,U,FALSE,Brooklyn,11213
160,May 01 2015,DOG,Boxer,2,M,TRUE,Brooklyn,11237
161,May 01 2015,DOG,MALTESE - X,3,F,FALSE,Brooklyn,11209
162,May 05 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,11220
163,May 01 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,
164,May 06 2015,DOG,Collie-Smooth Coat,10,F,TRUE,Brooklyn,11220
165,May 06 2015,DOG,CHIHUAHUA-BOSTON TERR X,5,M,TRUE,Brooklyn,11222
166,April 08 2015,DOG,HUSKY-CATTLE DOG MIX,4,M,TRUE,Brooklyn,
167,April 08 2015,DOG,HUSKY-CATTLE MIX,4,M,TRUE,Brooklyn,
168,May 10 2015,DOG,American Pit Bull Terrier-Pit Bull,13,M,TRUE,Brooklyn,11234
169,May 10 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11228
170,May 09 2015,DOG,Siberian Husky,14,M,TRUE,Brooklyn,11231
171,May 09 2015,DOG,American Pit Bull Mix - Pit Bull Mix,5,F,TRUE,Brooklyn,11208
172,May 01 2015,DOG,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11217
173,May 03 2015,DOG,American Pit Bull Terrier-Pit Bull,,F,FALSE,Brooklyn,11231
174,May 07 2015,DOG,Australian Shepherd,5,M,TRUE,Brooklyn,11238
175,May 09 2015,DOG,American Pit Bull Terrier-Pit Bull,8,M,TRUE,Brooklyn,11219
176,May 11 2015,DOG,American Pit Bull Terrier-Pit Bull,2,F,FALSE,Brooklyn,11218
177,April 25 2015,DOG,Shih Tzu,4,M,TRUE,Brooklyn,11226
178,May 03 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11235
179,May 10 2015,DOG,American Pit Bull Mix - Pit Bull Mix,3,F,FALSE,Brooklyn,
180,May 12 2015,DOG,American Pit Bull Mix - Pit Bull Mix,5,M,TRUE,Brooklyn,11213
181,May 12 2015,DOG,Bloodhound,4,M,TRUE,Brooklyn,11231
182,May 12 2015,DOG,Jack Russ,10,M,TRUE,Brooklyn,11215
183,May 14 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11211
184,May 14 2015,DOG,Cocker Spaniel-American,10,M,TRUE,Brooklyn,11220
186,May 14 2015,DOG,American Pit Bull Terrier-Pit Bull,6,M,FALSE,Brooklyn,11232
187,May 12 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,
188,April 28 2015,DOG,American Pit Bull Mix - Pit Bull Mix,1,M,TRUE,Brooklyn,11234
189,May 15 2015,DOG,Cocker Spaniel Crossbreed,,M,FALSE,Brooklyn,11205
190,May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211
191,May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211
192,January 08 2015,DOG,American Pit Bull Terrier-Pit Bull,1,M,TRUE,Brooklyn,11224
193,May 12 2015,DOG,Cane Corso,5,F,TRUE,Brooklyn,11233
194,May 05 2015,DOG,TERRIER,,U,FALSE,Brooklyn,
195,May 16 2015,DOG,BORDER COLLIE-JACK RUSSELL,11M,F,TRUE,Brooklyn,
196,May 06 2015,DOG,CORGI,,M,FALSE,Brooklyn,11222
197,May 21 2015,DOG,Shih Tzu,,U,FALSE,Brooklyn,11229
198,May 20 2015,DOG,MUTT,1,F,TRUE,Brooklyn,11201
199,May 24 2015,DOG,MIXED,2,M,TRUE,Brooklyn,
200,May 24 2015,DOG,PIT BULL-LAB X,2,F,FALSE,Brooklyn,11236
201,May 24 2015,DOG,PIT BULL-LAB X,2,F,FALSE,Brooklyn,11236
202,May 24 2015,DOG,Labrador Retriever,,U,FALSE,Brooklyn,11215
203,May 25 2015,DOG,Labrador Retriever,3,F,FALSE,Brooklyn,11234
204,May 25 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,
205,May 23 2015,DOG,Mastiff-Tibetan,1,M,TRUE,Brooklyn,11214
206,May 23 2015,DOG,MALTESE MIX,4,M,TRUE,Brooklyn,
207,May 24 2015,DOG,SCHNAUZER,,M,FALSE,Brooklyn,11215
208,May 28 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11237
209,May 24 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11221
210,May 23 2015,DOG,American Pit Bull Mix - Pit Bull Mix,6,M,TRUE,Brooklyn,11205
211,May 28 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11213
212,May 28 2015,DOG,American Pit Bull Mix - Pit Bull Mix,3,M,FALSE,Brooklyn,11236
213,May 26 2015,DOG,Saint Bernard,,U,FALSE,Brooklyn,11214
214,May 28 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,11208
215,May 30 2015,DOG,West High White Terrier,4,M,FALSE,Brooklyn,11224
216,May 30 2015,DOG,West High White Terrier,4,M,FALSE,Brooklyn,11224
217,May 31 2015,DOG,Chihuahua,1,M,FALSE,Brooklyn,11207
218,May 30 2015,DOG,Collie-Border,,U,FALSE,Brooklyn,11211
219,May 29 2015,DOG,Labrador Retriever Crossbreed,8,F,TRUE,Brooklyn,11229
220,May 31 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,
221,June 01 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11207
222,June 02 2015,DOG,Chow Chow,1,M,FALSE,Brooklyn,11233
223,June 02 2015,DOG,Doberman Pinscher,7,M,TRUE,Brooklyn,11228
224,June 01 2015,DOG,Yorkshire Terrier,2,M,FALSE,Brooklyn,11217
225,May 27 2015,DOG,TEACUP YORKIE,,U,FALSE,Brooklyn,
226,June 03 2015,DOG,SHORKY,8,M,TRUE,Brooklyn,11238
227,May 31 2015,DOG,HAVANESE X,4,M,TRUE,Brooklyn,11236
228,May 27 2015,DOG,BLUE HEELER X,9,M,TRUE,Brooklyn,11237
229,June 04 2015,DOG,Pit Bull,3,F,TRUE,Brooklyn,11226
230,June 04 2015,DOG,American Pit Bull Terrier-Pit Bull,4,M,FALSE,Brooklyn,11226
231,June 04 2015,DOG,Yorkshire Terrier,2,M,TRUE,Brooklyn,11214
232,June 06 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,
233,June 06 2015,DOG,Chow Chow,4,M,FALSE,Brooklyn,11234
234,June 05 2015,DOG,Lhasa Apso,5,M,TRUE,Brooklyn,11231
235,June 06 2015,DOG,Poodle-Standard,3,M,TRUE,Brooklyn,11234
236,June 07 2015,DOG,Pointer-German Shorthaired,8,F,TRUE,Brooklyn,11231
237,May 30 2015,DOG,SCHNOODLE,,U,FALSE,Brooklyn,11211
238,May 30 2015,DOG,Chow Chow,2,M,FALSE,Brooklyn,11208
239,June 05 2015,DOG,Yorkshire Terrier,,U,FALSE,Brooklyn,11221
240,June 10 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11237
241,June 09 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11213
242,June 10 2015,DOG,Cane Corso,2,M,FALSE,Brooklyn,11224
243,June 09 2015,DOG,ENGLISH SETTER,6,M,FALSE,Brooklyn,
244,June 09 2015,DOG,American Pit Bull Mix - Pit Bull Mix,2,F,FALSE,Brooklyn,11208
245,June 09 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11224
246,June 12 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11233
247,June 12 2015,DOG,Maltese,,U,FALSE,Brooklyn,11235
248,June 14 2015,DOG,TERRIER MIX,6,M,TRUE,Brooklyn,
249,June 14 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11208
250,June 13 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,
251,June 14 2015,DOG,Jack Russ,3,F,TRUE,Brooklyn,
252,June 12 2015,DOG,Jack Russ,2,M,TRUE,Brooklyn,11235
253,June 12 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11216
254,June 16 2015,DOG,DOBERMAN X,1,F,FALSE,Brooklyn,11215
255,June 14 2015,DOG,American Eskimo,5,M,TRUE,Brooklyn,11230
256,June 19 2015,DOG,American Staffordshire Terrier,7,F,TRUE,Brooklyn,11233
257,June 18 2015,DOG,BOSTON TERR-BOXER X,,U,FALSE,Brooklyn,11228
258,June 07 2015,DOG,Chihuahua,3,M,TRUE,Brooklyn,11217
259,June 22 2015,DOG,Golden Retriever,12,F,TRUE,Brooklyn,11229
260,June 22 2015,DOG,MALTESE-CHIHUAHUA X,1,M,FALSE,Brooklyn,11217
261,June 21 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,
262,June 19 2015,DOG,Pit Bull,5,M,TRUE,Brooklyn,11211
263,June 19 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11229
264,June 18 2015,DOG,American Pit Bull Terrier-Pit Bull,2,M,TRUE,Brooklyn,11235
265,June 22 2015,DOG,Maltese,7,F,TRUE,Brooklyn,11220
266,June 21 2015,DOG,Jack Russ,12,F,TRUE,Brooklyn,
267,June 23 2015,DOG,American Pit Bull Terrier-Pit Bull,1,M,FALSE,Brooklyn,11233
268,June 24 2015,DOG,American Pit Bull Terrier-Pit Bull,,M,FALSE,Brooklyn,11230
269,June 26 2015,DOG,UNKNOWN,,U,FALSE,Brooklyn,11220
270,June 24 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11224
271,June 25 2015,DOG,American Staffordshire Terrier,3,M,FALSE,Brooklyn,
272,June 28 2015,DOG,American Pit Bull Terrier-Pit Bull,5,M,FALSE,Brooklyn,11203
273,June 26 2015,DOG,Maltese,1,M,FALSE,Brooklyn,11236
274,June 24 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11231
275,June 21 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11230
276,June 19 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11229
277,June 21 2015,DOG,Mixed-Other,2,M,FALSE,Brooklyn,11213
278,July 01 2015,DOG,Vizsla,4,M,TRUE,Brooklyn,11249
279,June 29 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11224
280,July 02 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11219
281,March 17 2015,DOG,Jack Russ,10,M,FALSE,Brooklyn,11221
282,July 02 2015,DOG,Golden Retriever,,U,FALSE,Brooklyn,
283,July 05 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11213
284,June 13 2015,DOG,HUSKY-LAB X,8,F,TRUE,Brooklyn,
285,June 22 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11236
286,July 04 2015,DOG,American Pit Bull Terrier-Pit Bull,2,M,FALSE,Brooklyn,
287,July 02 2015,DOG,Chihuahua,3,M,FALSE,Brooklyn,11212
288,July 03 2015,DOG,CHOW CHOW-SHEPARD X,12,M,FALSE,Brooklyn,11207
289,July 04 2015,DOG,Yorkshire Terrier,,U,FALSE,Brooklyn,11210
290,July 04 2015,DOG,MALTIPOO,6,M,TRUE,Brooklyn,11212
291,June 29 2015,DOG,BORDER COLLIE-POINTER X,6,M,TRUE,Brooklyn,11231
292,July 08 2015,DOG,ENG SETTER,6,M,FALSE,Brooklyn,11235
293,July 07 2015,DOG,MIXED,,U,FALSE,Brooklyn,11216
294,July 05 2015,DOG,Wire Fox Terrier,8,M,TRUE,Brooklyn,11205
295,July 12 2015,DOG,American Pit Bull Mix - Pit Bull Mix,3,F,FALSE,Brooklyn,11216
296,July 14 2015,DOG,American Pit Bull Mix - Pit Bull Mix,2,M,FALSE,Brooklyn,11221
297,July 13 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,11207
298,July 06 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11236
299,July 06 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11236
300,July 04 2015,DOG,Jack Russ,1,M,TRUE,Brooklyn,11204
301,July 14 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,
302,July 11 2015,DOG,Siberian Husky,,U,FALSE,Brooklyn,
303,July 13 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,
304,July 10 2015,DOG,Golden Retriever,5,M,TRUE,Brooklyn,11238
305,July 10 2015,DOG,German Shepherd Crossbreed,6,M,FALSE,Brooklyn,11231
306,July 06 2015,DOG,Yorkshire Terrier,6,F,FALSE,Brooklyn,11208
307,July 01 2015,DOG,German Shepherd,6,M,FALSE,Brooklyn,11220
308,July 12 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11235
309,July 12 2015,DOG,JACK RUSSELL X,10M,M,FALSE,Brooklyn,11236
310,July 13 2015,DOG,Yorkshire Terrier,,U,FALSE,Brooklyn,11209
311,July 11 2015,DOG,Bull dog,,U,FALSE,Brooklyn,
312,July 08 2015,DOG,POODLE-CHIHUAHUA X,2,M,FALSE,Brooklyn,11206
313,July 15 2015,DOG,American Pit Bull Terrier-Pit Bull,,U,FALSE,Brooklyn,11207
314,July 16 2015,DOG,Pit Bull,2,F,FALSE,Brooklyn,11205
315,July 17 2015,DOG,Basset Hound,3,M,TRUE,Brooklyn,11220
316,July 15 2015,DOG,German Shepherd,8,F,FALSE,Brooklyn,
317,July 16 2015,DOG,Shiba Inu,1,M,TRUE,Brooklyn,11235
318,July 21 2015,DOG,Shih Tzu,,U,FALSE,Brooklyn,11233
319,July 19 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,
320,July 21 2015,DOG,Cocker Spaniel,13,M,TRUE,Brooklyn,11230
321,July 22 2015,DOG,Pit Bull,11M,F,FALSE,Brooklyn,11206
322,July 19 2015,DOG,Pit Bull,4,M,TRUE,Brooklyn,11222
323,July 19 2015,DOG,Bull Terrier,2,M,FALSE,Brooklyn,11207
